
Oph Iota,4.424446,0.177418,4.38
Tau 119,1.449554,0.324534,4.38
Vir Theta,3.446807,-0.096672,4.38
Aqr 99,6.135036,-0.360270,4.39
Aqr Psi2,6.099504,-0.160265,4.39
Cep Kappa,5.274770,1.356320,4.39
Eri Omega,1.277996,-0.095169,4.39
Ind Theta,5.584472,-0.932874,4.39
Lyr Eta,5.034220,0.683229,4.39
Oph Xi,4.542234,-0.368487,4.39
CMa Tau,1.914219,-0.435532,4.4
Ind Delta,5.750504,-0.959800,4.4
Peg Upsilon,6.132127,0.408480,4.4
Pup 16,2.133781,-0.335889,4.4
Vir 110,3.939644,0.036502,4.4
Cep Pi,6.055849,1.315760,4.41
Gem Tau,1.881203,0.527880,4.41
Her Lambda,4.584711,0.455715,4.41
Her Nu,4.705859,0.526905,4.41
Hya 58,3.884616,-0.487999,4.41
Ori Chi1,1.546282,0.353885,4.41
Ori Phi1,1.460928,0.165622,4.41
Phe Psi,0.495877,-0.808131,4.41
Psc 30,0.008552,-0.104967,4.41
Scl Gamma,6.103518,-0.567790,4.41
UMa Xi,2.959133,0.550288,4.41
And Eta,0.249611,0.408712,4.42
Aqr 3,5.444278,-0.087751,4.42
Aqr Zeta2,5.885403,-0.000349,4.42
Eri Pi,0.986729,-0.211214,4.42
Leo 60,2.889960,0.352203,4.42
Lup Sigma,3.807501,-0.880640,4.42
Oph Chi,4.306702,-0.322125,4.42
Ori Nu,1.603834,0.257756,4.42
Boo Zeta,3.844735,0.239605,4.43
CMa Nu3,1.736123,-0.318304,4.43
Cyg 39,5.340104,0.561821,4.43
Cyg Upsilon,5.575971,0.609067,4.43
Del Delta,5.425611,0.263099,4.43
Eri Omicron2,1.113833,-0.133566,4.43
Lac Beta,5.862386,0.911571,4.43
Psc Delta,0.212421,0.132383,4.43
Ser Lambda,4.129638,0.128335,4.43
Cet 7,0.063879,-0.330439,4.44
Hya Sigma,2.263503,0.058318,4.44
Mon Epsilon,1.674505,0.080159,4.44
Pav Kappa,4.960880,-1.173448,4.44
Psc Nu,0.442579,0.095775,4.44
Ret Epsilon,1.119112,-1.035014,4.44
Vul Alpha,5.099438,0.430485,4.44
Aql Mu,5.122934,0.128786,4.45
Cae Alpha,1.224181,-0.730663,4.45
Cha Delta2,2.817747,-1.405693,4.45
Dra Tau,5.042038,1.280296,4.45
Lep Iota,1.362659,-0.207156,4.45
Oph 68,4.720039,0.022781,4.45
Oph Omega,4.329013,-0.374659,4.45
Boo Sigma,3.816511,0.519148,4.46
For Beta,0.737794,-0.565588,4.46
Gru Lambda,5.786268,-0.690161,4.46
Lac 11,5.936367,0.772769,4.46
Leo Kappa,2.463772,0.456966,4.46
Ori Rho,1.366993,0.049936,4.46
PsA Gamma,5.988777,-0.573787,4.46
Aqr 86,6.050540,-0.414394,4.47
Cam 7,1.297158,0.938153,4.47
Eri Tau1,0.720399,-0.324151,4.47
Leo Phi,2.952494,-0.063734,4.47
Mon 18,1.779625,0.042101,4.47
Nor Epsilon,4.307407,-0.829991,4.47
Ori Pi6,1.302663,0.029918,4.47
CMa Lambda,1.693704,-0.568628,4.48
Crt Beta,2.930662,-0.398386,4.48
Cyg Theta,5.133195,0.876524,4.48
LMi 21,2.650413,0.615136,4.48
Lyn 2,1.656419,1.029933,4.48
Ori Xi,1.622894,0.247992,4.48
Tuc Delta,5.878851,-1.133877,4.48
UMa 15,2.394904,0.900672,4.48
Aqr Omega2,6.207794,-0.253858,4.49
Equ Delta,5.560975,0.174654,4.49
Gem 30,1.762732,0.230868,4.49
Lib 16,3.914701,-0.075859,4.49
Sex Alpha,2.652631,-0.006487,4.49
Tau 71,1.162157,0.272591,4.49
Boo Tau,3.609610,0.304676,4.5
Cap 24,5.528890,-0.436434,4.5
Leo 54,2.860653,0.431964,4.5
Mon 13,1.714364,0.127986,4.5
Oph Psi,4.293961,-0.349720,4.5
PsA Mu,5.796166,-0.575760,4.5
Psc Lambda,6.204849,0.031067,4.5
Pup Omicron,2.042413,-0.452690,4.5
Tuc Epsilon,6.282822,-1.144538,4.5
UMa 26,2.508147,0.908468,4.5
Ant Epsilon,2.483800,-0.627470,4.51
Aqr Nu,5.539653,-0.198473,4.51
Ari 39,0.732638,0.510460,4.51
Cap 36,5.623116,-0.380608,4.51
Cir Gamma,4.028998,-1.035344,4.51
Dra Rho,5.248285,1.184618,4.51
Eri Upsilon1,1.193413,-0.519526,4.51
Ind Eta,5.428141,-0.906194,4.51
Lac 6,5.892617,0.752644,4.51
Pic Gamma,1.526414,-0.980293,4.51
Psc Tau,0.312676,0.525165,4.51
Ret Gamma,1.051110,-1.084887,4.51
And 7,6.076146,0.862304,4.52
And Sigma,0.079972,0.642024,4.52
Aur Tau,1.523563,0.683839,4.52
Cas Iota,0.650426,1.176396,4.52
Her Rho,4.553928,0.648317,4.52
Peg 55,6.051951,0.164226,4.52
Ser Iota,4.108294,0.343311,4.52
Sgr 59,5.222665,-0.474206,4.52
Vir Lambda,3.748575,-0.233370,4.52
Vul 23,5.304790,0.485449,4.52
And Nu,0.217352,0.716962,4.53
Cyg Lambda,5.442846,0.636885,4.53
Leo 93,3.089167,0.352886,4.53
Per 17,0.748368,0.611908,4.53
Psc Beta,6.038301,0.066672,4.53
Tel Epsilon,4.761389,-0.802056,4.53
Aur 16,1.388315,0.582445,4.54
Boo Kappa2,3.724024,0.903911,4.54
Boo Psi,3.946386,0.470323,4.54
CMa Xi2,1.723760,-0.400810,4.54
CMi 6,1.962608,0.209556,4.54
Cas 48,0.532136,1.237560,4.54
Cas Omicron,0.195150,0.842723,4.54
Cas Rho,6.258678,1.003555,4.54
Lib Iota1,3.980318,-0.345430,4.54
Lup Phi2,4.028031,-0.643304,4.54
Sgr 3,4.658109,-0.485740,4.54
Tuc Beta2,0.137706,-1.098961,4.54
Boo Xi,3.889415,0.333377,4.55
Cae Gamma1,1.328225,-0.619301,4.55
Cet 2,0.016319,-0.302572,4.55
Cyg 63,5.526592,0.831620,4.55
LMi 10,2.505522,0.635256,4.55
Peg 70,6.148599,0.222714,4.55
Sco Omicron,4.278835,-0.421836,4.55
Cen 3,3.629529,-0.575862,4.56
Cep 11,5.680705,1.244619,4.56
Lup Tau1,3.779234,-0.789262,4.56
Ret Delta,1.041722,-1.071637,4.56
UMa 24,2.506649,1.218768,4.56
Her Omega,4.299691,0.244928,4.57
Hya Tau2,2.495741,-0.020682,4.57
Lac 2,5.851333,0.812218,4.57
Lac 4,5.866561,0.863526,4.57
Ori Omega,1.479974,0.071932,4.57
Peg 2,5.628461,0.412576,4.57
Scl Delta,6.234869,-0.490966,4.57
Dra Psi1,4.633580,1.259236,4.58
Pyx Kappa,2.391312,-0.451313,4.58
Sgr 62,5.247587,-0.483626,4.58
Tau 136,1.541678,0.481924,4.58
Vul 13,5.207459,0.420270,4.58
Aqr Zeta1,5.885374,-0.000354,4.59
Ara Sigma,4.606186,-0.811675,4.59
CrA Delta,5.010615,-0.706800,4.59
Dra Pi,5.064371,1.146938,4.59
Her 113,4.951274,0.395230,4.59
Ori 42,1.463400,-0.084445,4.59
Ori Psi2,1.426094,0.054028,4.59
Phe Mu,0.180322,-0.804335,4.59
Pup 1,2.022575,-0.495867,4.59
Sco 13,4.242474,-0.487407,4.59
Sco 2,4.160916,-0.442043,4.59
UMa Phi,2.583553,0.943603,4.59
Vul 31,5.463441,0.472931,4.59
Ant Iota,2.865474,-0.648176,4.6
Boo Omicron,3.862595,0.296085,4.6
Hya Tau1,2.483378,-0.048326,4.6
Hya Upsilon2,2.640356,-0.228022,4.6
Mon Beta,1.696533,-0.122745,4.6
Peg Tau,6.111430,0.414346,4.6
Sgr 52,5.134351,-0.434301,4.6
UMa Pi2,2.269859,1.122732,4.6
And Theta,0.074576,0.675122,4.61
Cyg 47,5.383919,0.615243,4.61
Psc 33,0.023278,-0.099615,4.61
Sgr Upsilon,5.068989,-0.278467,4.61
Cru Lambda,3.380063,-1.032304,4.62
Her Chi,4.156829,0.740921,4.62
Lib 37,4.076122,-0.175658,4.62
Oph Mu,4.615720,-0.141701,4.62
Ori Upsilon,1.448318,-0.127433,4.62
Psc Xi,0.495477,0.055632,4.62
Ser Theta1,4.957695,0.073367,4.62
Ser Zeta,4.714498,-0.064407,4.62
